strain,sex,schedule_label,session,genotype,A_ID,n_trials,mean_itl,median_itl,sem_itl,sd_itl,min_itl,max_itl,cut_scope,percentile
Shank3B,male,Deterministic,2,WT,ASD269,809,2.2689547997526796,1.371500000001106,0.07799032371423979,2.21827295204603,0.3004990000044927,11.483500000000276,session,93
Shank3B,male,Deterministic,2,WT,ASD270,837,1.89122318279571,0.8473240000002988,0.07758457698702906,2.244595694706836,0.3791719999999259,11.396127000000092,session,93
Shank3B,male,Deterministic,2,WT,ASD274,721,1.2407937988904496,0.663825000000088,0.05798826103109092,1.557068495266847,0.341164999999819,11.474460000000363,session,93
Shank3B,male,Deterministic,2,WT,ASD275,772,2.0579466567357514,0.7392470000002049,0.08944280334995384,2.4851582715972147,0.19050000000061118,11.349616000000424,session,93
Shank3B,male,Deterministic,2,WT,ASD292,818,1.345100341075786,0.7327500000001237,0.0565990357679916,1.6187720022259817,0.2620010000000548,9.92449999999917,session,93
Shank3B,male,Deterministic,2,WT,ASD293,953,1.4192854134312562,0.8334999999997308,0.05283914283305292,1.6311812252509443,0.3564999999999827,11.155999999999949,session,93
Shank3B,male,Deterministic,1,Het,ASD012,913,1.7213723986856884,1.1475000000009459,0.05584300989851666,1.6873462365152228,0.4205000000001746,13.153499999999894,session,95
Shank3B,male,Deterministic,1,Het,ASD013,938,1.16475369189766,0.7542499999999563,0.04480436168165645,1.3722135819569956,0.3664999999982683,13.395500000000084,session,95
Shank3B,male,Deterministic,1,Het,ASD105,446,2.7139628923765877,2.0113320000004933,0.10900803739665711,2.3021093563976622,0.4786659999999756,12.773319999999785,session,95
Shank3B,male,Deterministic,1,Het,ASD128,769,1.3006943446033605,0.8434999999999491,0.057226379810762736,1.5869361115252634,0.35050000000046566,13.072500000000218,session,95
Shank3B,male,Deterministic,1,Het,ASD138,759,1.8531048840575723,1.0939990000042599,0.07408943982255387,2.0411607055187613,0.1633329999895068,13.232652999999118,session,95
Shank3B,male,Deterministic,1,Het,ASD141,850,3.1358299517646424,2.0392495000014605,0.09603277675782694,2.799812508016532,0.45949999999720603,13.475500000000466,session,95
Shank3B,male,Deterministic,1,Het,ASD235,999,1.823330683683681,1.2929949999997916,0.05205941111578523,1.6454397902799787,0.42817099999956554,13.259947000000466,session,95
Shank3B,male,Deterministic,1,Het,ASD236,759,1.2179344057970996,0.7178250000006301,0.05255362310503685,1.447849932076144,0.3196649999999863,13.546778999999901,session,95
Shank3B,male,Deterministic,1,Het,ASD247,967,1.3055754912099418,0.693000000000211,0.04821096327530869,1.4991981788927609,0.3220000000001164,11.61850000000004,session,95
Shank3B,male,Deterministic,1,Het,ASD260,859,2.359059345750875,1.3939989999998943,0.08315741523694503,2.4372358839341426,0.39266700000007404,13.490653000000748,session,95
Shank3B,male,Deterministic,1,Het,ASD262,953,2.492836831059823,1.1075000000000728,0.09448115321457326,2.916699155219158,0.46550000000002,13.410000000003492,session,95
Shank3B,male,Deterministic,1,Het,ASD306,1326,1.565236420814504,0.614000999999007,0.06805212844756116,2.4780694580577647,0.29750000000012733,13.250000999999884,session,95
Shank3B,male,Deterministic,1,Het,ASD313,1276,2.069200139498423,1.1226654999995844,0.06306573317509369,2.252780022630675,0.4286659999997937,13.487986000000092,session,95
Shank3B,male,Deterministic,1,Het,ASD314,967,2.048156499482919,1.263332000000446,0.06637073848339095,2.0639058733976374,0.39466600000014296,13.470653000000311,session,95
Shank3B,male,Deterministic,1,WT,ASD014,929,1.9452639171151325,0.8186659999992116,0.086665102067023,2.6415090918319963,0.3473329999997077,13.503319000001284,session,95
Shank3B,male,Deterministic,1,WT,ASD104,562,2.3989901548042307,1.4817510000000311,0.09760986369962307,2.3139920583701152,0.4804999999996653,13.553499000001466,session,95
